Цикл №104: Общая прибыль: 100486.12, Общие затраты: 22670.00, Разница: 77816.12, Среднее на складе: 6.70
Цикл №105: Общая прибыль: 99866.44, Общие затраты: 23060.00, Разница: 76806.44, Среднее на складе: 7.30
Цикл №106: Общая прибыль: 100005.16, Общие затраты: 23410.00, Разница: 76595.16, Среднее на складе: 7.50
Цикл №107: Общая прибыль: 99908.71, Общие затраты: 26350.00, Разница: 73558.71, Среднее на складе: 0.60
Цикл №108: Общая прибыль: 100073.06, Общие затраты: 25100.00, Разница: 74973.06, Среднее на складе: 0.20
Цикл №109: Общая прибыль: 100599.27, Общие затраты: 24780.00, Разница: 75819.27, Среднее на складе: 2.50
Цикл №110: Общая прибыль: 100196.49, Общие затраты: 24340.00, Разница: 75856.49, Среднее на складе: 4.70
Цикл №111: Общая прибыль: 100408.19, Общие затраты: 24750.00, Разница: 75658.19, Среднее на складе: 3.30
Цикл №112: Общая прибыль: 100188.04, Общие затраты: 22930.00, Разница: 77258.04, Среднее на складе: 8.20
Цикл №113: Общая прибыль: 100083.19, Общие затраты: 24800.00, Разница: 75283.19, Среднее на складе: 1.60
Цикл №114: Общая прибыль: 99555.16, Общие затраты: 24200.00, Разница: 75355.16, Среднее на складе: 5.50
Цикл №115: Общая прибыль: 100115.25, Общие затраты: 25480.00, Разница: 74635.25, Среднее на складе: -1.50
Цикл №116: Общая прибыль: 101080.27, Общие затраты: 23100.00, Разница: 77980.27, Среднее на складе: 3.30
Цикл №117: Общая прибыль: 100259.38, Общие затраты: 25390.00, Разница: 74869.38, Среднее на складе: 0.90
Цикл №118: Общая прибыль: 100077.89, Общие затраты: 24910.00, Разница: 75167.89, Среднее на складе: 4.90
Цикл №119: Общая прибыль: 100088.61, Общие затраты: 24050.00, Разница: 76038.61, Среднее на складе: 5.10
Цикл №120: Общая прибыль: 100002.54, Общие затраты: 25790.00, Разница: 74212.54, Среднее на складе: 1.60
Цикл №121: Общая прибыль: 99785.61, Общие затраты: 25510.00, Разница: 74275.61, Среднее на складе: 2.10
Цикл №122: Общая прибыль: 99891.82, Общие затраты: 23110.00, Разница: 76781.82, Среднее на складе: 7.80
Цикл №123: Общая прибыль: 100039.51, Общие затраты: 24610.00, Разница: 75429.51, Среднее на складе: 0.80
Цикл №124: Общая прибыль: 99631.82, Общие затраты: 23970.00, Разница: 75661.82, Среднее на складе: 4.30
Цикл №125: Общая прибыль: 100668.42, Общие затраты: 23250.00, Разница: 77418.42, Среднее на складе: 5.90
